name,program_number,model_type,lat,lon,address,phone,contract_type,school_district,boro,zip,levelofcare
"EAST TREMONT CC & DEV CTR",0100501,GC,40.84312850,-73.89418530,"1811 CROTONA AVENUE BRONX, NY 10457",(718) 731-4166,FF,12,BX,10457,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"HAC/ DORIS E. STONE",0100901,GH,40.83818140,-73.92899950,"1165 UNIVERSITY AVENUE BRONX, NY 10452",(718) 681-1529,FF,09,BX,10452,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"ALEENE LOGAN PRESCHOOL CTR",0102401,GD,40.83769370,-73.90608930,"1450 WEBSTER AVENUE BRONX, NY 10456",(718) 293-0759,FF,09,BX,10456,"[[0.0,0.0,0.0,0.0],[1.0,2.0,2.11,0.0],[1.0,2.0,5.09,0.0],[0.0,0.0,0.0,0.0]]"
"LOUIS A. FICKLING CHILD DEV CT",0102402,GD,40.83260730,-73.90915750,"1240 WEBSTER AVENUE BRONX, NY 10456",(718) 538-7135,FF,09,BX,10456,"[[0.0,0.0,0.0,0.0],[1.0,2.0,2.11,0.0],[1.0,2.0,5.09,0.0],[0.0,0.0,0.0,0.0]]"
"CMCS/ANNA LEFKOWITZ CDC",0106301,GD,40.81697280,-73.90695250,"690 WESTCHESTER AVE BRONX, NY 10455",(718) 402-7179,FF,07,BX,10455,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"SUSAN E. WAGNER DCC",0107501,GC,40.88600770,-73.84510460,"1140 E 229 STREET BRONX, NY 10466",(718) 547-1735,FF,11,BX,10466,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"DR. RICHARD GREEN LEARNING CTR",0109403,PP,40.81930370,-73.84843170,"2165 RANDALL AVENUE BRONX, NY 10473",(718) 904-1689,PP,08,BX,10473,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.06,5.0,2.0],[0.0,0.0,0.0,2.0]]"
"VICTORY DCC",0110101,GD,40.87607270,-73.86631280,"3440 WHITE PLAINS ROAD BRONX, NY 10467",(718) 655-5501,FF,11,BX,10467,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"WESTCHESTER TREMONT DCC ",0110701,GC,40.84345130,-73.84856070,"2547 EAST TREMONT AVENUE BRONX, NY 10461",(718) 824-7390,FF,11,BX,10461,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"THROGGS NECK CHILD C C",0117301,GC,40.82034880,-73.82271440,"461 SWINTON AVE BRONX, NY 10465",(718) 822-0172,FF,08,BX,10465,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"TRABAJAMOS COMMUNITY HS 4",0118101,GD,40.84931080,-73.89606100,"1997 BATHGATE AVENUE BRONX, NY 10457",(917) 259-7081,FF,10,BX,10457,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"WATSON AVENUE ECC",0119001,GC,40.82801660,-73.86136810,"1880 WATSON AVENUE BRONX, NY 10472",(718) 828-9400,FF,08,BX,10472,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"TRABAJAMOS COMMUNITY HS 5",0119701,GD,40.85806330,-73.90961140,"2167 UNIVERSITY AVENUE BRONX, NY 10453",,FF,10,BX,10453,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"LSSNY - EARLY LIFE CTR 4",0119901,GC,40.85183320,-73.91713480,"200 W TREMONT AVE BRONX, NY 10453",(718) 294-3050,FF,09,BX,10453,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"MID BRONX CCRP ECC 4",0120101,GD,40.83380200,-73.92958290,"1022 SUMMIT AVENUE BRONX, NY 10452",(347) 498-1097,FF,09,BX,10452,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"TREMONT MONTEREY DAYCARE II",0120201,GC,40.83910600,-73.90091780,"1600 BATHGATE AVENUE BRONX, NY 10457",(718) 466-6700,FF,09,BX,10457,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"HMPS ILEANA RODRIGUEZ DCC",0121501,PP,40.85522410,-73.89917840,"2195 VALENTINE AVE BRONX, NY 10457",,PP,10,BX,10457,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,6.0,2.0],[1.0,6.0,12.11,2.0]]"
"HIGHBRIDGE ADVSY CNCL ECC 1",0121701,GC,40.84434990,-73.91327090,"1594-98 TOWNSEND AVENUE BRONX, NY 10452",,FF,09,BX,10452,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"RICHARD H. MANGUM ELC",0121703,GC,40.82511150,-73.91386650,"383 EAST 162ND STREET BRONX, NY 10451",(718) 590-0673,FF,09,BX,10451,"[[0.0,0.0,0.0,0.0],[1.0,2.0,2.11,0.0],[1.0,2.0,5.09,0.0],[0.0,0.0,0.0,0.0]]"
"LSSNY - EARLY LIFE CTR 1",0121704,GD,40.85494270,-73.90432320,"80 EAST 181 STREET BRONX, NY 10453",(347) 297-2900,FF,10,BX,10453,"[[0.0,0.0,0.0,2.0],[0.0,0.0,0.0,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
"HIGHBRIDGE ADVISORY CNL NELSON",0121705,GC,40.83734420,-73.92601590,"1181 NELSON AVE BRONX, NY 10452",(718) 681-5216,FF,09,BX,10452,"[[0.0,0.0,0.0,2.0],[1.0,2.0,2.11,2.0],[1.0,2.0,5.09,2.0],[0.0,0.0,0.0,2.0]]"
